iter	Passed	Remaining
0	148	148097
1	149	74390
2	149	49774
3	150	37453
4	151	30072
5	151	25147
6	152	21626
7	153	18995
8	153	16938
9	154	15290
10	155	13946
11	155	12830
12	156	11883
13	157	11071
14	157	10363
15	158	9745
16	159	9201
17	159	8716
18	160	8281
19	161	7893
20	161	7539
21	162	7220
22	163	6928
23	163	6661
24	164	6413
25	165	6184
26	165	5971
27	166	5775
28	167	5592
29	167	5421
30	168	5261
31	168	5111
32	169	4972
33	170	4843
34	171	4719
35	171	4601
36	172	4489
37	173	4384
38	173	4284
39	174	4188
40	175	4098
41	175	4011
42	176	3927
43	177	3849
44	177	3774
45	178	3702
46	179	3633
47	179	3567
48	180	3504
49	181	3443
50	181	3383
51	182	3328
52	183	3274
53	183	3222
54	184	3171
55	185	3122
56	185	3075
57	186	3030
58	187	2986
59	187	2944
60	188	2903
61	189	2863
62	189	2825
63	190	2787
64	191	2751
65	192	2717
66	192	2682
67	193	2645
68	193	2613
69	194	2582
70	195	2552
71	195	2522
72	196	2493
73	197	2465
74	197	2438
75	198	2411
76	199	2385
77	199	2360
78	200	2335
79	200	2310
80	201	2286
81	202	2263
82	202	2240
83	203	2218
84	203	2194
85	204	2173
86	205	2151
87	205	2131
88	206	2111
89	206	2092
90	207	2073
91	208	2054
92	208	2036
93	209	2018
94	210	2000
95	210	1983
96	211	1966
97	211	1950
98	212	1934
99	213	1919
100	213	1903
101	214	1885
102	214	1871
103	215	1856
104	216	1842
105	216	1827
106	217	1814
107	217	1800
108	218	1787
109	219	1774
110	219	1761
111	220	1749
112	221	1736
113	221	1724
114	222	1712
115	223	1699
116	223	1687
117	224	1676
118	224	1664
119	225	1652
120	226	1642
121	226	1632
122	227	1619
123	227	1609
124	228	1599
125	229	1589
126	229	1579
127	230	1568
128	230	1558
129	231	1549
130	232	1540
131	232	1531
132	233	1522
133	234	1513
134	234	1504
135	235	1495
136	236	1486
137	236	1477
138	237	1469
139	237	1460
140	238	1452
141	239	1444
142	239	1436
143	240	1429
144	241	1422
145	241	1414
146	242	1407
147	243	1400
148	243	1392
149	244	1385
150	245	1378
151	245	1371
152	246	1364
153	247	1357
154	247	1351
155	248	1344
156	249	1337
157	249	1331
158	250	1324
159	251	1318
160	251	1311
161	252	1305
162	253	1299
163	253	1293
164	254	1287
165	255	1282
166	255	1276
167	256	1270
168	257	1264
169	257	1259
170	258	1253
171	259	1247
172	259	1242
173	260	1236
174	261	1231
175	261	1225
176	262	1220
177	263	1215
178	263	1209
179	264	1204
180	264	1198
181	265	1192
182	266	1187
183	266	1182
184	267	1177
185	268	1172
186	268	1168
187	269	1163
188	270	1159
189	270	1154
190	271	1149
191	272	1144
192	272	1140
193	273	1135
194	274	1131
195	274	1126
196	275	1122
197	275	1117
198	276	1113
199	277	1108
200	277	1104
201	278	1100
202	279	1095
203	279	1091
204	280	1088
205	281	1084
206	282	1081
207	282	1077
208	283	1073
209	284	1070
210	285	1066
211	285	1062
212	286	1059
213	287	1055
214	288	1051
215	288	1047
216	289	1043
217	289	1040
218	290	1036
219	291	1032
220	291	1029
221	292	1025
222	293	1022
223	294	1018
224	294	1015
225	295	1011
226	295	1007
227	296	1004
228	297	1001
229	298	998
230	298	995
231	299	992
232	300	988
233	301	985
234	301	982
235	302	979
236	303	975
237	303	972
238	304	969
239	305	966
240	305	963
241	306	960
242	307	957
243	308	954
244	308	951
245	309	948
246	310	945
247	310	942
248	311	940
249	312	937
250	313	934
251	313	931
252	314	928
253	315	925
254	315	922
255	316	919
256	317	917
257	317	914
258	318	911
259	319	908
260	319	905
261	320	902
262	321	900
263	321	897
264	322	894
265	323	891
266	323	888
267	324	886
268	325	883
269	325	880
270	326	878
271	327	876
272	328	874
273	329	871
274	329	869
275	330	867
276	331	864
277	332	862
278	332	859
279	333	857
280	334	854
281	334	852
282	335	849
283	336	847
284	336	844
285	337	842
286	338	839
287	338	837
288	339	835
289	340	832
290	340	830
291	341	827
292	342	825
293	342	823
294	343	820
295	344	818
296	344	816
297	345	813
298	346	811
299	346	808
300	347	806
301	347	804
302	348	801
303	349	799
304	349	797
305	350	794
306	351	792
307	351	790
308	352	788
309	353	786
310	353	784
311	354	781
312	355	779
313	355	777
314	356	775
315	357	772
316	357	770
317	358	768
318	358	766
319	359	764
320	360	761
321	360	759
322	361	757
323	362	755
324	362	753
325	363	751
326	364	749
327	364	747
328	365	745
329	366	743
330	366	741
331	367	739
332	368	737
333	369	736
334	369	734
335	370	732
336	371	730
337	372	729
338	373	727
339	374	726
340	374	724
341	375	722
342	376	720
343	376	718
344	377	716
345	378	714
346	378	712
347	379	711
348	380	709
349	380	707
350	381	705
351	382	703
352	382	701
353	383	699
354	384	697
355	384	695
356	385	694
357	385	692
358	386	690
359	387	688
360	387	686
361	388	684
362	389	682
363	389	681
364	390	679
365	391	677
366	391	675
367	392	673
368	393	672
369	393	670
370	394	668
371	395	667
372	395	665
373	396	663
374	397	661
375	397	660
376	398	658
377	399	656
378	399	655
379	400	653
380	401	651
381	401	649
382	402	648
383	403	646
384	403	644
385	404	643
386	404	641
387	405	639
388	406	638
389	406	636
390	407	634
391	408	633
392	409	631
393	409	630
394	410	628
395	411	627
396	412	625
397	412	624
398	413	622
399	414	621
400	415	619
401	415	618
402	416	616
403	417	615
404	417	613
405	418	612
406	419	610
407	419	609
408	420	607
409	421	606
410	421	604
411	422	603
412	423	601
413	423	600
414	424	598
415	425	597
416	426	595
417	426	594
418	427	592
419	428	591
420	428	589
421	429	588
422	430	587
423	431	585
424	431	584
425	432	582
426	433	581
427	434	580
428	434	578
429	435	577
430	436	575
431	437	574
432	437	573
433	438	571
434	439	570
435	439	569
436	440	567
437	441	566
438	442	564
439	442	563
440	443	562
441	444	560
442	444	559
443	445	558
444	446	556
445	447	555
446	447	554
447	448	552
448	449	551
449	450	550
450	450	548
451	451	547
452	452	546
453	453	544
454	453	543
455	454	542
456	455	540
457	455	539
458	456	538
459	457	536
460	458	535
461	458	534
462	459	533
463	460	531
464	461	530
465	461	529
466	462	527
467	463	526
468	464	525
469	464	524
470	465	522
471	466	521
472	466	520
473	467	519
474	468	517
475	469	516
476	470	515
477	470	514
478	471	512
479	472	511
480	472	510
481	473	509
482	474	507
483	475	506
484	475	505
485	476	503
486	477	502
487	477	501
488	478	500
489	479	499
490	480	498
491	481	497
492	482	495
493	482	494
494	483	493
495	484	492
496	485	491
497	485	489
498	486	488
499	487	487
500	488	486
501	488	484
502	489	483
503	490	482
504	490	481
505	491	479
506	492	478
507	493	477
508	493	476
509	494	475
510	495	474
511	496	472
512	496	471
513	497	470
514	498	469
515	499	468
516	499	467
517	500	465
518	501	464
519	502	463
520	502	462
521	503	461
522	504	459
523	505	458
524	505	457
525	506	456
526	507	455
527	508	454
528	508	453
529	509	452
530	510	450
531	511	449
532	512	448
533	513	447
534	513	446
535	514	445
536	515	444
537	516	443
538	517	442
539	517	441
540	518	439
541	519	438
542	520	437
543	521	436
544	521	435
545	522	434
546	523	433
547	523	432
548	524	431
549	525	429
550	526	428
551	526	427
552	527	426
553	528	425
554	529	424
555	529	422
556	530	421
557	531	420
558	531	419
559	532	418
560	533	417
561	533	416
562	534	414
563	535	413
564	535	412
565	536	411
566	537	410
567	538	409
568	539	408
569	539	407
570	540	406
571	541	405
572	542	403
573	542	402
574	543	401
575	544	400
576	545	399
577	545	398
578	546	397
579	547	396
580	548	395
581	548	394
582	549	393
583	550	391
584	551	390
585	551	389
586	552	388
587	553	387
588	553	386
589	554	385
590	555	384
591	556	383
592	556	382
593	557	381
594	558	380
595	559	378
596	559	377
597	560	376
598	561	375
599	561	374
600	562	373
601	563	372
602	563	371
603	564	370
604	565	369
605	566	368
606	566	366
607	567	365
608	568	364
609	568	363
610	569	362
611	569	361
612	570	360
613	571	359
614	571	358
615	572	356
616	573	355
617	574	354
618	574	353
619	575	352
620	576	351
621	576	350
622	577	349
623	578	348
624	579	347
625	579	346
626	580	345
627	580	344
628	581	342
629	582	341
