iter	Passed	Remaining
0	145	145798
1	147	73732
2	149	49601
3	150	37580
4	152	30394
5	154	25570
6	156	22136
7	157	19542
8	159	17536
9	161	15947
10	162	14637
11	164	13545
12	166	12639
13	168	11856
14	169	11145
15	171	10521
16	172	9973
17	174	9517
18	176	9101
19	177	8709
20	179	8356
21	181	8054
22	184	7823
23	185	7556
24	187	7311
25	189	7085
26	190	6865
27	191	6658
28	193	6472
29	195	6305
30	196	6145
31	198	5993
32	199	5847
33	201	5714
34	202	5592
35	204	5474
36	205	5358
37	207	5254
38	209	5153
39	210	5054
40	212	4959
41	213	4870
42	215	4789
43	216	4711
44	218	4635
45	220	4565
46	221	4500
47	223	4435
48	225	4375
49	226	4311
50	228	4246
51	229	4190
52	231	4138
53	233	4090
54	235	4040
55	236	3989
56	238	3940
57	239	3889
58	240	3840
59	242	3793
60	243	3750
61	245	3711
62	247	3674
63	248	3637
64	250	3602
65	251	3565
66	253	3527
67	254	3491
68	256	3454
69	257	3418
70	258	3386
71	260	3358
72	261	3326
73	263	3295
74	264	3267
75	266	3237
76	267	3208
77	268	3179
78	270	3151
79	271	3123
80	273	3099
81	274	3077
82	275	3049
83	277	3026
84	279	3004
85	280	2982
86	282	2960
87	283	2936
88	284	2914
89	285	2891
90	287	2872
91	289	2854
92	290	2834
93	292	2817
94	293	2799
95	295	2782
96	296	2763
97	298	2746
98	299	2729
99	301	2712
100	302	2696
101	304	2681
102	306	2666
103	307	2650
104	309	2635
105	310	2618
106	311	2602
107	313	2586
108	314	2571
109	316	2558
110	317	2546
111	319	2533
112	321	2519
113	322	2505
114	323	2492
115	325	2478
116	326	2462
117	327	2448
118	329	2436
119	330	2425
120	332	2414
121	333	2402
122	335	2390
123	336	2379
124	338	2367
125	339	2355
126	340	2342
127	342	2332
128	343	2322
129	345	2314
130	347	2304
131	349	2296
132	350	2285
133	352	2275
134	353	2265
135	354	2254
136	356	2245
137	357	2234
138	359	2224
139	360	2216
140	362	2209
141	364	2199
142	365	2190
143	366	2181
144	368	2172
145	369	2163
146	371	2155
147	372	2147
148	374	2140
149	377	2137
150	378	2129
151	380	2121
152	381	2113
153	383	2104
154	385	2098
155	386	2092
156	388	2085
157	390	2080
158	391	2073
159	393	2066
160	394	2057
161	396	2050
162	398	2043
163	399	2037
164	401	2030
165	402	2023
166	404	2016
167	405	2010
168	407	2004
169	409	1997
170	410	1990
171	412	1984
172	413	1977
173	414	1969
